Date,Close
26/03/2020 16:00:00,"816,23"
27/03/2020 16:00:00,"772,12"
30/03/2020 16:00:00,"798,6"
31/03/2020 16:00:00,"819,89"
1/04/2020 16:00:00,"787,95"
2/04/2020 16:00:00,"800,81"
3/04/2020 16:00:00,"792,2"
6/04/2020 16:00:00,"831,47"
7/04/2020 16:00:00,"830,58"
8/04/2020 16:00:00,"846,79"
9/04/2020 16:00:00,"859,44"
13/04/2020 16:00:00,"853,35"
14/04/2020 16:00:00,"864,47"
15/04/2020 16:00:00,"847,02"
16/04/2020 16:00:00,"842,76"
17/04/2020 16:00:00,"871,85"
20/04/2020 16:00:00,"871,98"
21/04/2020 16:00:00,"844,63"
22/04/2020 16:00:00,"865,91"
23/04/2020 16:00:00,"861,97"
24/04/2020 16:00:00,"873,14"
27/04/2020 16:00:00,"884,53"
28/04/2020 16:00:00,"894,17"
29/04/2020 16:00:00,"920,28"
30/04/2020 16:00:00,"891,63"
1/05/2020 16:00:00,"882,65"
4/05/2020 16:00:00,"893,1"
5/05/2020 16:00:00,"896,99"
6/05/2020 16:00:00,"898,73"
7/05/2020 16:00:00,"897,5"
8/05/2020 16:00:00,"905,55"
11/05/2020 16:00:00,"916,89"
12/05/2020 16:00:00,"904,1"
13/05/2020 16:00:00,"882,04"
14/05/2020 16:00:00,"881,22"
15/05/2020 16:00:00,"886,85"
19/05/2020 16:00:00,"899,03"
20/05/2020 16:00:00,"906,09"
21/05/2020 16:00:00,"898,39"
22/05/2020 16:00:00,"900,53"
25/05/2020 16:00:00,"910,8"
26/05/2020 16:00:00,"915,67"
27/05/2020 16:00:00,"924,65"
28/05/2020 16:00:00,"923,16"
29/05/2020 16:00:00,"917,17"
1/06/2020 16:00:00,"919,77"
2/06/2020 16:00:00,"931,7"
3/06/2020 16:00:00,"941,72"
4/06/2020 16:00:00,"936,71"
5/06/2020 16:00:00,"956,81"
8/06/2020 16:00:00,"961,68"
9/06/2020 16:00:00,"954,25"
10/06/2020 16:00:00,"946,07"
11/06/2020 16:00:00,"908,66"
12/06/2020 16:00:00,"920,06"
15/06/2020 16:00:00,"925,96"
16/06/2020 16:00:00,936
17/06/2020 16:00:00,"930,87"
18/06/2020 16:00:00,"934,92"
19/06/2020 16:00:00,"933,38"
22/06/2020 16:00:00,"935,25"
23/06/2020 16:00:00,"937,54"
24/06/2020 16:00:00,"921,79"
25/06/2020 16:00:00,"932,27"
26/06/2020 16:00:00,"915,65"
29/06/2020 16:00:00,"928,6"
30/06/2020 16:00:00,"934,21"
2/07/2020 16:00:00,"940,86"
3/07/2020 16:00:00,"939,35"
6/07/2020 16:00:00,"942,24"
7/07/2020 16:00:00,"937,72"
8/07/2020 16:00:00,"939,19"
9/07/2020 16:00:00,"935,68"
10/07/2020 16:00:00,"945,35"
13/07/2020 16:00:00,"941,72"
14/07/2020 16:00:00,"958,31"
15/07/2020 16:00:00,"966,01"
16/07/2020 16:00:00,"964,87"
17/07/2020 16:00:00,"970,07"
20/07/2020 16:00:00,"973,04"
21/07/2020 16:00:00,"971,5"
22/07/2020 16:00:00,"970,92"
23/07/2020 16:00:00,"961,57"
24/07/2020 16:00:00,"960,06"
27/07/2020 16:00:00,"969,04"
28/07/2020 16:00:00,"965,65"
29/07/2020 16:00:00,"977,15"
30/07/2020 16:00:00,"978,31"
31/07/2020 16:00:00,"968,67"
4/08/2020 16:00:00,"980,88"
5/08/2020 16:00:00,"988,62"
6/08/2020 16:00:00,"992,83"
7/08/2020 16:00:00,"991,1"
10/08/2020 16:00:00,"995,1"
11/08/2020 16:00:00,"991,09"
12/08/2020 16:00:00,"995,48"
13/08/2020 16:00:00,"990,98"
14/08/2020 16:00:00,"990,34"
17/08/2020 16:00:00,"998,16"
18/08/2020 16:00:00,"996,5"
19/08/2020 16:00:00,"994,06"
20/08/2020 16:00:00,"995,77"
21/08/2020 16:00:00,"990,99"
24/08/2020 16:00:00,"997,79"
25/08/2020 16:00:00,"998,34"
26/08/2020 16:00:00,"1009,3"
27/08/2020 16:00:00,"1005,78"
28/08/2020 16:00:00,"1002,28"
31/08/2020 16:00:00,"990,52"
1/09/2020 16:00:00,"998,29"
